route_id,kind,label,sequence,row,col,hex_id
경부고속철도 포항지선,ktx_branch,동대구–포항,6,87,50,087-50
경부고속철도 포항지선,ktx_branch,동대구–포항,7,86,51,086-51
경전선 KTX,ktx_branch,동대구–진주,0,88,45,088-45
경전선 KTX,ktx_branch,동대구–진주,1,89,44,089-44
경전선 KTX,ktx_branch,동대구–진주,2,89,45,089-45
경전선 KTX,ktx_branch,동대구–진주,3,90,45,090-45
경전선 KTX,ktx_branch,동대구–진주,4,91,45,091-45
경전선 KTX,ktx_branch,동대구–진주,5,92,46,092-46
경전선 KTX,ktx_branch,동대구–진주,6,93,45,093-45
경전선 KTX,ktx_branch,동대구–진주,7,94,46,094-46
경전선 KTX,ktx_branch,동대구–진주,8,95,45,095-45
경전선 KTX,ktx_branch,동대구–진주,9,95,44,095-44
경전선 KTX,ktx_branch,동대구–진주,10,96,44,096-44
경전선 KTX,ktx_branch,동대구–진주,11,96,43,096-43
경전선 KTX,ktx_branch,동대구–진주,12,96,42,096-42
경전선 KTX,ktx_branch,동대구–진주,13,96,41,096-41
경전선 KTX,ktx_branch,동대구–진주,14,96,40,096-40
호남고속철도,ktx,용산–목포,0,69,30,069-30
호남고속철도,ktx,용산–목포,1,70,30,070-30
호남고속철도,ktx,용산–목포,2,71,30,071-30
호남고속철도,ktx,용산–목포,3,72,30,072-30
호남고속철도,ktx,용산–목포,4,72,31,072-31
호남고속철도,ktx,용산–목포,5,73,30,073-30
호남고속철도,ktx,용산–목포,6,74,31,074-31
호남고속철도,ktx,용산–목포,7,75,31,075-31
호남고속철도,ktx,용산–목포,8,76,31,076-31
호남고속철도,ktx,용산–목포,9,77,31,077-31
호남고속철도,ktx,용산–목포,10,78,32,078-32
호남고속철도,ktx,용산–목포,11,78,33,078-33
호남고속철도,ktx,용산–목포,12,79,33,079-33
호남고속철도,ktx,용산–목포,13,80,33,080-33
호남고속철도,ktx,용산–목포,14,80,32,080-32
호남고속철도,ktx,용산–목포,15,81,32,081-32
호남고속철도,ktx,용산–목포,16,81,31,081-31
호남고속철도,ktx,용산–목포,17,82,32,082-32
호남고속철도,ktx,용산–목포,18,82,31,082-31
호남고속철도,ktx,용산–목포,19,83,31,083-31
호남고속철도,ktx,용산–목포,20,84,31,084-31
호남고속철도,ktx,용산–목포,21,85,30,085-30
호남고속철도,ktx,용산–목포,22,86,31,086-31
호남고속철도,ktx,용산–목포,23,86,30,086-30
호남고속철도,ktx,용산–목포,24,87,30,087-30
호남고속철도,ktx,용산–목포,25,88,30,088-30
호남고속철도,ktx,용산–목포,26,89,29,089-29
호남고속철도,ktx,용산–목포,27,90,30,090-30
호남고속철도,ktx,용산–목포,28,91,29,091-29
호남고속철도,ktx,용산–목포,29,92,29,092-29
호남고속철도,ktx,용산–목포,30,93,29,093-29
호남고속철도,ktx,용산–목포,31,94,29,094-29
호남고속철도,ktx,용산–목포,32,95,29,095-29
호남고속철도,ktx,용산–목포,33,95,28,095-28
호남고속철도,ktx,용산–목포,34,96,29,096-29
호남고속철도,ktx,용산–목포,35,97,28,097-28
호남고속철도,ktx,용산–목포,36,98,28,098-28
호남고속철도,ktx,용산–목포,37,98,27,098-27
호남고속철도,ktx,용산–목포,38,99,27,099-27
호남고속철도,ktx,용산–목포,39,99,26,099-26
호남고속철도,ktx,용산–목포,40,99,25,099-25
호남고속철도,ktx,용산–목포,41,100,26,100-26
호남고속철도,ktx,용산–목포,42,100,25,100-25
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,0,87,30,087-30
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,1,88,31,088-31
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,2,88,32,088-32
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,3,89,32,089-32
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,4,90,33,090-33
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,5,91,32,091-32
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,6,92,33,092-33
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,7,93,33,093-33
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,8,94,34,094-34
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,9,95,34,095-34
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,10,96,34,096-34
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,11,97,34,097-34
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,12,98,35,098-35
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,13,99,35,099-35
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,14,100,36,100-36
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,15,100,37,100-37
전라선 KTX,ktx_branch,익산–전주–순천–여수EXPO,16,101,37,101-37
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,0,68,31,068-31
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,1,68,32,068-32
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,2,69,32,069-32
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,3,69,33,069-33
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,4,69,34,069-34
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,5,70,35,070-35
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,6,70,36,070-36
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,7,70,37,070-37
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,8,71,38,071-38
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,9,71,39,071-39
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,10,71,40,071-40
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,11,71,41,071-41
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,12,71,42,071-42
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,13,70,43,070-43
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,14,69,43,069-43
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,15,69,44,069-44
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,16,68,45,068-45
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,17,68,46,068-46
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,18,67,46,067-46
강릉선 KTX,ktx_branch,서울–청량리–원주–평창–강릉,19,66,47,066-47
